group_column	group_name	n_variants	fraction
analysis_group	unlabeled_or_other	41280	0.8305166586190246
analysis_group	neutral_reference	8284	0.16666666666666666
analysis_group	article_pathogenic_posthoc	84	0.0016900048285852245
analysis_group	disease_suspected_posthoc	56	0.0011266698857234831
spectrum_group_primary_T95	expanded_neutral_like_T95	41264	0.8301947529373893
spectrum_group_primary_T95	unlabeled_out_of_neutral_domain_T95	8300	0.16698857234830194
spectrum_group_primary_T95	exclude	140	0.0028166747143087076
spectrum_group_strict_T95	strict_expanded_neutral_like_T95	40860	0.8220666344760985
spectrum_group_strict_T95	unlabeled_out_of_neutral_domain_T95	8300	0.16698857234830194
spectrum_group_strict_T95	exclude	544	0.01094479317559955
spectrum_group_primary_T99	expanded_neutral_like_T99	47447	0.9545911797843232
spectrum_group_primary_T99	unlabeled_out_of_neutral_domain_T99	2117	0.0425921455013681
spectrum_group_primary_T99	exclude	140	0.0028166747143087076
spectrum_group_posthoc	unlabeled_neutral_like_T95	32980	0.6635280862707227
spectrum_group_posthoc	unlabeled_out_of_neutral_domain_T95	8300	0.16698857234830194
spectrum_group_posthoc	known_neutral_reference	8284	0.16666666666666666
spectrum_group_posthoc	article_pathogenic_posthoc	84	0.0016900048285852245
spectrum_group_posthoc	disease_suspected_posthoc	56	0.0011266698857234831
